Category	Item	Page
Front Matter	International Steering Committee	ix
Front Matter	Editorial Staff	ix
Front Matter	Contributors	x
Front Matter	About the Editors	xii
Front Matter	New Monographs	xiii
Front Matter	Related Substances	xiv
Front Matter	Preface	xvi
Front Matter	Arrangement	xvii
Front Matter	Acknowledgments	xix
Front Matter	Notice to Readers	xix
Front Matter	Bibliography	xx
Front Matter	Abbreviations	xx
Front Matter	Units of Measurement	xxii
Monograph	Monothioglycerol	482
Monograph	Myristic Acid	484
Monograph	Neohesperidin Dihydrochalcone	486
Monograph	Nitrogen	488
Monograph	Nitrous Oxide	490
Monograph	Octyldodecanol	492
Monograph	Oleic Acid	494
Monograph	Oleyl Alcohol	496
Monograph	Olive Oil	498
Monograph	Palmitic Acid	501
Monograph	Paraffin	503
Monograph	Peanut Oil	505
Monograph	Pectin	507
Monograph	Petrolatum	509
Monograph	Petrolatum and Lanolin Alcohols	512
Monograph	Phenol	514
Monograph	Phenoxyethanol	517
Monograph	Phenylethyl Alcohol	519
Monograph	Phenylmercuric Acetate	521
Monograph	Phenylmercuric Borate	524
Monograph	Phenylmercuric Nitrate	526
Monograph	Phosphoric Acid	530
Monograph	Polacrilin Potassium	532
Monograph	Poloxamer	535
Monograph	Polycarbophil	539
Monograph	Polydextrose	542
Monograph	Polyethylene Glycol	545
Monograph	Polyethylene Oxide	551
Monograph	Polymethacrylates	553
Monograph	Poly(methyl vinyl ether/maleic anhydride)	561
Monograph	Polyoxyethylene Alkyl Ethers	564
Monograph	Polyoxyethylene Castor Oil Derivatives	572
Monograph	Polyoxyethylene Sorbitan Fatty Acid Esters	580
Monograph	Polyoxyethylene Stearates	585
Monograph	Polyvinyl Acetate Phthalate	589
Monograph	Polyvinyl Alcohol	592
Monograph	Potassium Alginate	594
Monograph	Potassium Benzoate	596
Monograph	Potassium Bicarbonate	598
Monograph	Potassium Chloride	600
Monograph	Potassium Citrate	603
Monograph	Potassium Hydroxide	605
Monograph	Potassium Metabisulfite	607
Monograph	Potassium Sorbate	609
Monograph	Povidone	611
Monograph	Propionic Acid	617
Monograph	Propyl Gallate	619
Monograph	Propylene Carbonate	622
Monograph	Propylene Glycol	624
Monograph	Propylene Glycol Alginate	627
Monograph	Propylparaben	629
Monograph	2-Pyrrolidone	633
Monograph	Raffinose	635
Monograph	Saccharin	638
Monograph	Saccharin Sodium	641
Monograph	Saponite	644
Monograph	Sesame Oil	646
Monograph	Shellac	649
Monograph	Simethicone	652
Monograph	Sodium Acetate	654
Monograph	Sodium Alginate	656
Monograph	Sodium Ascorbate	659
Monograph	Sodium Benzoate	662
Monograph	Sodium Bicarbonate	665
Monograph	Sodium Borate	669
Monograph	Sodium Chloride	671
Monograph	Sodium Citrate Dihydrate	675
Monograph	Sodium Cyclamate	678
Monograph	Sodium Hyaluronate	681
Monograph	Sodium Hydroxide	683
Monograph	Sodium Lactate	685
Monograph	Sodium Lauryl Sulfate	687
Monograph	Sodium Metabisulfite	690
Monograph	Sodium Phosphate Dibasic	693
Monograph	Sodium Phosphate Monobasic	696
Monograph	Sodium Propionate	699
Monograph	Sodium Starch Glycolate	701
Monograph	Sodium Stearyl Fumarate	705
Monograph	Sodium Sulfite	708
